Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Low income,LIC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.86758803446909,5.19771036897651,5.7503690895717,..
"Low income, excluding China and India",LIX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Lower middle income,LMC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,3.03058664969491,3.68181341625573,4.70600205495677,..
Low-income Africa,LSA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Luxembourg,LUX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.74332075653843,0.819957302126994,2.52692009066169,..
"Macao SAR, China",MAC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.75193081051976,0.81141051149158,..,..
Madagascar,MDG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,5.61051441492366,4.20179312190553,5.81225118787723,..
Malawi,MWI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,9.37083605605672,8.62551469650552,..,..
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,0.662891865764376,-1.13870215393056,2.47710241465444,..
Maldives,MDV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,0.220029731065343,-1.3697742556981,0.543149688736981,..
Mali,MLI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,-1.65826694846368,0.438088940320712,3.92560283104272,..
Malta,MLT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.64206001768947,0.638544956776653,1.49789217934737,..
Marshall Islands,MHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Martinique,MTQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Mauritania,MRT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.30009262117938,2.38569488456317,3.56516484650187,..
Mauritius,MUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,0.405655190309511,2.58080077182828,4.02852888157379,..
Mayotte,MYT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,3.6359614212705,3.39683415569999,5.68920847683764,..
Micronesia,FSM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.53907146098899,0.550898203592806,..,..
Middle East & North Africa,MNA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,2.47857885221637,2.09626938944794,5.70635020830702,..
Middle East & North Africa (all income levels),MEA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,1.04883403678989,0.672256809057485,2.68387777341776,..
Middle East & North Africa (IDA & IBRD),TMN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,3.0053894939038,2.41513094083414,5.87410754944371,..
Middle East (developing only),MDE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022 Dec,202212,..,..,..,..
